model,dataset,macro_f1,micro_f1
hivetrace/gliner-guard-omni,aegis_prompt_safety,0.7224547704028912,0.7423625254582484
hivetrace/gliner-guard-omni,aegis_response_safety,0.7638362279843445,0.7662976629766297
hivetrace/gliner-guard-omni,beavertails,0.30271637514457017,0.460142344140944
hivetrace/gliner-guard-omni,gliclass_jailbreaking_classification,0.21552273171104241,0.37150127226463103
hivetrace/gliner-guard-omni,gliclass_safe_unsafe_classification,0.7195211132145811,0.7517461210331411
hivetrace/gliner-guard-omni,gliclass_toxicity_classification,0.5349353172296586,0.5987841945288754
hivetrace/gliner-guard-omni,gliclass_unsafe_categorization,0.2588525089787386,0.21544633901705115
hivetrace/gliner-guard-omni,harmbench_prompts,0.2986362966239127,0.2601626016260163
hivetrace/gliner-guard-omni,harmbench_responses,0.029411764705882356,0.04878048780487805
hivetrace/gliner-guard-omni,jbb_behaviors_behavior,0.7216666666666667,0.8042328042328042
hivetrace/gliner-guard-omni,jbb_behaviors_category,0.46934450412711276,0.5376344086021505
hivetrace/gliner-guard-omni,jbb_behaviors_safety,0.45114242545712435,0.555
hivetrace/gliner-guard-omni,med_safety_bench_safe_unsafe,0.9933330370238678,0.9933333333333333
hivetrace/gliner-guard-omni,oai,0.4389685105152259,0.5490830636461704
hivetrace/gliner-guard-omni,oai_safety,0.6785160737231954,0.7019867549668874
hivetrace/gliner-guard-omni,offenseval_2020_safe_unsafe,0.6280306774831779,0.6557377049180327
hivetrace/gliner-guard-omni,or_bench_80k,0.3202365576779281,0.4711
hivetrace/gliner-guard-omni,or_bench_hard_1k,0.047653429602888084,0.050037907505686124
hivetrace/gliner-guard-omni,or_bench_toxic,0.49731389102072143,0.9893129770992366
hivetrace/gliner-guard-omni,pan12_predator_conversation_safety,0.4480652962273087,0.7794
hivetrace/gliner-guard-omni,polyguard_prompt_safety,0.6925717272210907,0.693537936913896
hivetrace/gliner-guard-omni,polyguard_prompt_subcategory,0.31591863566358996,0.576705797507913
hivetrace/gliner-guard-omni,polyguard_response_refusal,0.17630007340526688,0.16259731068648267
hivetrace/gliner-guard-omni,polyguard_response_safety,0.6551083144959526,0.7299074105944309
hivetrace/gliner-guard-omni,saferlhf,0.27561448851956666,0.49699012761858896
hivetrace/gliner-guard-omni,saferlhf_response_safety,0.7650508256408635,0.7776356659967111
hivetrace/gliner-guard-omni,simplesafetytests,0.8606297448402712,0.8585858585858586
hivetrace/gliner-guard-omni,simplest,0.8137519515228494,0.81
hivetrace/gliner-guard-omni,textdetox_multilingual_toxicity_safe_unsafe,0.7137143762603844,0.7156527587076527
hivetrace/gliner-guard-omni,toxicchat_jailbreaking_classification,0.7053589542938296,0.9653747786740114
hivetrace/gliner-guard-omni,toxicchat_safe_unsafe_classification,0.489944413552207,0.7580169191422388
hivetrace/gliner-guard-omni,toxicchat_toxicity_classification,0.7626795125662229,0.919732441471572
hivetrace/gliner-guard-omni,wildguard_prompt_safety,0.7262068625795193,0.7304296645085344
hivetrace/gliner-guard-omni,wildguard_prompt_subcategory,0.3824107758428302,0.5771076079506511
hivetrace/gliner-guard-omni,wildguard_response_refusal,0.18037593984962405,0.18866080156402737
hivetrace/gliner-guard-omni,wildguard_response_safety,0.6438496654162851,0.7027501462843768
hivetrace/gliner-guard-omni,xstest,0.6731428571428572,0.6822222222222222
